;primcmnum;subcmnum;text;username
72;45;0;"Oha, so ein Text in der ""Zeit""/ZON, das ist schon erstaunlich. Aber immerhin, man mutet der eigenen Redaktion und den eigenen Lesern etwas Selbstkritik zu. Nur nicht zu weit treiben!  ""Moralismus gedeiht im Schatten eines langen Konjunkturzyklus bestens, die Konflikte können sich um identitätspolitische Detailfragen drehen. Und genau diese Version der Realität, wie sie sein soll, aber wie sie eben nicht ganz ist, hat sich unbeobachtet zu einem großen sozialen Ausschlussmechanismus entwickelt."" Diese Erkenntnis ist gleichzeitig revolutionär und schon vielfach in diesem Forum geäußert worden, nur nicht in der wohlgesetzten Sprache der Politologie. Im Ernst, ""Demokratie in Gefahr""? Wegen einer rechten Partei um die 15%? Das ist doch wohl eher Europäische Normalität, so wie Gysi in den 90ern die PDS als solche bezeichnet hat. Zu Links gehört Rechts, zu Linksliberalen Nationalkonservative, zu Kosmopoliten Kommunitarier - alles im Rahmen, alles ""diskursfördernd"". Nur die Laviererei der Kanzlerin wird damit ans Ende kommen, nicht schade drum.";bestrosi1975
73;45;1;""". Zu Links gehört Rechts, zu Linksliberalen Nationalkonservative, zu Kosmopoliten Kommunitarier - alles im Rahmen, alles ""diskursfördernd""."" Der zunhemend  permanente Appell an den inneren Schweinehund des Menschen, um demokratische Wahlen zu gewinnen, soll  diskusions foerdernd sein? wissen Sie naeheres ?";wenig brutal
74;46;0;"Der Artikel ist mal was anderes, da er feststellt dass Widerstand gegen die ""grüne"" 68er-Ideologie nicht nur von Rechtsextremen oder Nazi-Nostalgikern ausgeht und nicht nur von armen Abgehängten. Allerdings werden zwei fundamentale linksliberale Gedanken trotzdem nicht angerissen:  dass die 68er-Ideologie mit guter Begründung und ihren grundsätzlichen Ideen abgelehnt wird, und dass die Geschichte nicht zwangsläufig immer ""progressiver"" wird und in der grünen Utopie endet.";Berliner Weiße
75;47;0;Was für ein Artikel, die wohlhabenden grünen Intellektuellen erklären was angeblich gut für die Bevölkerung ist. Und wer das nicht erkennt ist eine rechte, minderbegabte Dumpfbacke. Multikulti wird als Lebensgefühl angepriesen, aber nur bis zur Einschulung des eigenen Nachwuchses.;NureinLeser
76;47;1;Wow, man kann auch gar nichts verstehen. Nicht neu bei AfDlern, aber immer wieder interessant. Klischees, Vorurteile und Hass in Massen. Verstehen = nicht vorhanden.;U. Witt
77;48;0;"""Alle diskutieren über die Verteidigung der Demokratie. "" Nicht generell. Direkte Demokratie, bei Gründung der Grünen eins ihrer Kernthemen, gilt bei denen die meinen die Demokratie zu verteidigen heute als rechtspopulistisches Teufelswerk.  In D gab es nicht mal bei der EU Verfassung ein Referendum.  Und Kohl selber hat gesagt, dass er ein Referendum über den Euro deutlich verloren hätte.https://www.telegraph.co.... Und diejenigen, die dann sauer wurden wenn auch noch alle Versprechen die bei der Einführung des Euros gebrochen um diese Währung dauerzuretten, wurden wurden als Rechtspopulisten stigmatisiert. Im Herbst 2015 ein D eine de facto Einwanderungspolitik gemacht, die kein andere Land Europas so gemacht und und keine anderes Einwanderungsland der Welt. Aber hier gab eine im Parlament keinerlei Oppositon dagegegen, von einzelnen Artikel abgesehen gab es eine kritische Presse. Es hat völlig ausgereicht eine Migrationspolitk zu wollen, wie sie in jedem anderen Einwanderungsland der Erde praktizierte Politik ist, um hier wiederum als Rechtspopulist stigmatisiert zu werden. Die AfD finde ich vollkommen unwählbar. Aber alle anderen Parteien aus den oben genannten Gründen auch.  Derzeit besteht die Demokratie in diesem Land nur noch nicht mehr wählen zu gehen.";Daisy de Rath
78;48;1;Die etablierten Parteien benötigen die AfD, um ihre Einwanderungspolitik aufrecht zu halten.;Klameier
79;49;0;Ich finde es sehr wichtig die Demokratie zu verteidigen. Für ein gutes Deutschland.;F.Schniep
80;50;0;Bei all den guten Ansätzen des Artikels, ich ginge einen Schritt weiter in der Anfangsanalyse. Es ist ja nicht nur so, als ob die neue akademisch-hippe Mittelschicht aus reiner Naivität den Klassenkampf gegen unten betreibt, viel zu oft steckt da ein genuiner, wenn auch vielleicht unbewusster Antrieb dahinter: Die urbane Linke, die die Reichen hasst aber die Armen verachtet. Ökologisch orientierte Menschen, die obsessiv jeden Plastikmüll verteufeln und dabei in viel zu großen Wohnungen leben. Eine Generation von kosmopolitischen Narzissten, die jede Sehnsucht nach Kommunitarismus ontologisch schon gar nicht mehr erfassen kann. Die Liste ließe sich beliebig fortführen. In einer Welt der kapitalistischen Hyperindividualisierung wird Moral konsumiert und politische Überzeugung zur reinen Stilfrage.;Dummschwätzer
81;50;1;Haben Sie nichts als Klischees, Hass, Vorurteilen und Phrasen auf Lager?  Wow, wie viel kann man Hassen, ohne dies mit echten Fakten zu untermauern. Sie sind zweifellos AfDler.;U. Witt
82;51;0;Vielleicht finden die Rechten in diesem Demokratie - Verständnis ein eigenverantwortliches Plätzchen: Stellen wir uns Demokratie als eine der verschiedenen Ebenen, des Föderalismus und der Subsidiarität vor. Das meint, diese Demokratie basiert auf dem eigenverantwortlichen, mündigen Bürger der sich für das Eigene und das grosse Ganze einsetzt. Das gibt auch Identität, beinhaltet Vielfalt und Perspektive. Was der Bürger allein nicht bewältigt, das wird Aufgabe der Gemeinde. Dann gibt es Anliegen, die besser Gemeindeübergreifend auf eine nächste oder übernächste Ebene delegiert werden. Das ist das subsidiäre Prinzip. Demokratie von unten nach oben. Vielleicht hilft das die Leute zu einen trotz Vielfalt.;stahel
83;52;0;Immer das gleiche Märchen von den armen, abgehängten und dummen Rechten. Schade.;MurrayBozinsky
84;52;1;Sie meinen die korrekte, auf empirischen Analysen beruhende Faktenlage der - in jeder Stadt an Wahlergebnissen mühelos Stadtviertel für Stadtviertel ablesbaren - unangenehmen Wahrheit.;U. Witt
85;53;0;"Der Arttikel tut so als wenn Life-Style-links-grün noch die Deutunghoheit hätte, macht eine kleine Kurve Richtung Selbsterkenntnis und biegt dann aber mit 130 Sachen in das ""Wir-haben-Recht-und-sons- niemand-Lager"" ab.  Das Problem ist, dass die ""Life-Style-Linken"" gerade die Deutungshoheit verlieren. Ich hätte nichts gegen echte Linke, ggf. wird die Wagenknecht-Bewegung ja was.";Horatio Caine
86;53;1;'Ich hätte nichts gegen echte Linke, ggf. wird die Wagenknecht-Bewegung ja was.' Sie meinen eine Linke, die sich nicht um 60 Geschlechteridentitäten oder das Thema der kulturellen Aneignung kümmert?;Blues Man
87;54;0;"Ich frage mich immer, ob solche Autoren jemals darüber nachdenken, inwiefern vielleicht die ""neuen Mittelschichten"" seit 2015 eine gegen die Unterschicht gerichtete Politik betreiben, die sie u.a. mit pausenlosen Rassismusvorwürfen einschüchtern, damit sie sich in ihre eigene Verdrängung fügen, und insofern das jüngste Erstarken (nicht das Entstehen) der Rechten auch und gerade ein Unterschichtenphänomen ist. Vielleicht hat die akademische Linke, also die ""neuen Mittelschichten"", einfach ihre alte Klientel vollkommen vergessen und widmet sich stattdessen immer radikaler einem Gesellschaftsumbau, der zu Schaden nicht nur, aber vor allem der Unterschicht geht, die das langsam merkt und keine Lust mehr hat, sich bevormunden, beschimpfen und veräppeln zu lassen.";Eusebius123
88;54;1;Und ich frage mich, ob 'die Unterschicht' jemals drüber nachdenkt, dass sie sich schon auch selber zur Unterschicht gemacht hat, als ihnen bei Schröder die Geduld gefehlt hat und man der SPD nicht die Chance gegeben hat (a) den Aufschwung nach Hartz IV mitzunehmen und (b) in der Folge dann die ärgsten Ungerechtigkeiten zu mildern. Bei Obama war's 2010 das gleiche - kaum ist nach 2 Jahren nicht alles in Butter, schon bleibt man toootaaaal enttäuscht zuhause, um dann ungläubig dabei zuzuschauen, wie alles dann den Bach runtergeht. Da beschwert man sich dann immer, dass 'die Politiker' so kurzfristig denken würden, aber kaum versucht dann einer etwas Langfristiges - Zack! ist er auch schon wieder weg. Und nach 13 Jahren merkt man, dass etwas blöd läuft und - Zack! macht man wieder das Falsche...;RGFG
89;55;0;"Das Problem ist das deutsche Verständnis von Demokratie an sich. Diese grüne Idee ist im Kern anti-demokratisch. Sie lebt von der Idee ""Wir wissen was gut für euch ist"" und ""nur keinen Schritt zurück"" und das Volk kommt darin nur mehr als etwas vor das Stimme abgeben darf ansonsten aber eine gefährliche Masse verführbarer Individuen ist die nur auf den nächsten Hitler warten.....so kann keine Demokratie funktionieren. Solange man in Deutschland dem Volk nicht vertraut und bereit ist den Willen des Volkes umzusetzen auch wenn er GEGEN den wohlfeilen Liberalismus geht, so lange ist die Demokratie in GEfahr in D und zwar von links und Mitte und nicht von rechts.";Gaius1995
90;55;1;"""Solange man in Deutschland dem Volk nicht vertraut und bereit ist den Willen des Volkes umzusetzen"" Das ist auch für mich eine interessante Frage, wieso manche (wenige) Gesellschaften (z.B. Schweiz) so langfristig gute Erfahrungen mit direkter Demokratie machen, während andere (z.B. Großbritannien) hoffnungslos scheitern. Un dann ist da noch die Frage, ob als Volk bereits 50,1% des Volkes ausreichen.";Wolfhuber
91;56;0;"Wenn sich die progressiven, grünen Mittelschichten eine ähnliche Erfolgsstory wie die ""Grünen"" der letzten 30 Jahre erreichen möchten, muss niemand Angst bekommen. Den Erfolg der Grünen bei ""Klima"" oder ""Freiheit"" oder...halte ich im Gegensatz zum Selbstbild für sehr überschaubar - man siehts ja aktuell.";Photonensurfer
92;57;0;"""Dass sich die Grünen 1980 entschlossen, eine Partei zu werden, gehört zu den wirklich bedeutenden Zäsuren in der Geschichte der Bundesrepublik... Seither fließen Kritik und Protest, individualisierte Freiheitlichkeit und ökologische Sorge, das Achtundsechziger-Erbe und die Experimente mit Lebensformen, ... kultureller Modernisierung ins parlamentarische System ein. "" Der Satz unterstellt, dass die GRÜNEN von heute-außer ihres Namens-auch nur noch im Ansatz etwas mit jenen GRÜNEN der 80-ern zu tun hat. Die GRÜNEN begannen als basisdemokratische , undogmatische Pazifisten und Sozialisten mit dem Versprechen eine ""Elitisierung"" unter allen Umständen zu verhindern. "" Macht korrumpiert , Dauer-Macht korrumpiert total"" und von daher stand Rotation von Macht-Ämtern & Macht-Positionen ganz oben in der Agenda. Verfochten zunächst von nahezu allen , gab es nicht wenige Opportunisten (Frauen Roth, Harms Herren Trittin,Herr Fischer) die es geschickt verstanden sich Stück für Stück zum Wohle der eigenen Karrieren sich davon zu verabschieden Die GRÜNEN Gründer waren auch das ERgebnis zunächst gescheiterter Existenzen der Mittelschicht, die die erste Möglichkeit nutzten sich ausschließlich zum eigenen Nutzen von den hehren Gründungs-Idealen zu verabschieden und sich als zwar aufgeklärtes aber mehr oder weniger clandestine ArbeiterInnen-Feinde in der Gesellschaft und den Medien zu etablieren.  NATO,Transtalantik-Vassallentum, wirtschaftlicher EU-Neoliberalismus sind heute die GRÜNEN Werte";RaLiWiWi
93;57;1;Die Entstehung der AfD und ihre Führungs-Figuren von Herrn Lucke, Henkel über Frau Petri , Frau Weidel bis hin zu Herren Gauland , Meuthen sind wie die GRÜNEN Menschen mit bürgerlichem Hintergrund,nur mit dem Unterschied dass sie durchgehend eine akademische Ausbildung abgeschlossen hatten  und durchaus - im Gegensatz zu den GRÜNEN VorreiterInnen - bereits eine erfolgreiche bürgerliche Karriere aufgebaut hatten Ohne es jetzt im Detail geprüft zu haben,gibt es wohl in keiner Bundetagsfraktion soviele Mitglieder mit Hochschul-Abschluß und bürgerlicher Karriere wie bei der AfD . Und ohne Frage ist der brillianteste Kopf der Hetzer Partei , Dr Curio , absolut universell ( Physik & Musik) gebildet , rhetorisch herausragend und vom Zynismuses eines Herrn der Geh-Schwierigkeiten hatte  Die AfD mag vor allem im Osten auch eine Bewegung der Abgehängten sein ( es gab einst auch Arbeiter(kinder) bei den GRÜNEN  ) in Summe ist es aber die Bewegung einer konservativ , reaktionären Mittelschicht die es einfach satt hat , dass Gender-Diskussion , Zuwanderung & Integration ala Miri & Co , Bürger-Feminismus und das Blindlings-Folgen einer ausschließlich auf eigener Macht-Ausdehnung fixierten EU zum bestimmenden Faktor der Politik wird Summa Summarum-sowohl GRÜNE wie AfD sind im Kern feindliche Brüder & Schwestern aus dem selben Stamm eines machtbesessenen besserwisserischen Bürgertums. Die arbeitende Bevölkerung interssiert beide bestenfalls als Wahlvieh und ansonsten einen Dreck;RaLiWiWi
94;58;0;"Ach die Modernisierungsverlierer sind doch in nennenswerter Zahl die ungebildeten Zuwanderer ohne Wahlrecht oder Wahlintention. Wer durch Deutschlands Städte fährt, sieht das. Sich zuallererst um sie zu kümmern, bedeutet Abstieg, siehe SPD.   Der grüne Mainstream ist verlogen, solange er seine Kinder aus den Multikultischulen abmeldet, deren Entstehen er durch seine liberale Zuwanderungspolitik befördert.    Die Formierung der AFD hat mit dieser Verlogenheit zu tun, denn der ""Herr im Haus-Standpunkt"", der knallhart eine Assimilation zu unseren Bedingungen (wie in Frankreich, Italien oder Dänemark) einfordert,  wird auch von der CDU nicht mehr wirklich verfolgt.";HHanseat
95;58;1;Der grüne Mainstream wählt die Grünen als Ablass dafür das sie sich im täglichen Leben an ihrer Moral versündigen und ein vermögendes Leben führen.;Gaius1995
96;59;0;So so, die neue Mittelschicht, aufgewachsen unter grüner Beeinflussung ist der Modernisirungsgewinner? Welche Modernisierung? Dank grüner Beeinflussung und Forderungen, welche die panisch um ihre Macht bangende Kanzlerin unter grünem Jubel umsetzte, ist z.B. die Gentechnik in Deutschland tot und die Chemieindustrie investiert hier weniger neu als diese ihre Anlagen abschreibt. Die „gendergerechte“ Verunstaltung der über hunderte Jahre gewachsenen deutschen Sprache ist auch keine Modernisierung. Oder wie jetzt in Hessen, das Aufstellen von Monsterwindrädern in FFH- Gebieten.;Nero Rauch
97;59;1;"Boah, noch mehr AfD-Mist. Aus dem Programm abgeschrieben? Warum nur können AfDler niemals selbst denken, nur Klischees wiederholen? Noch dazu faktenfremde Klischees.  Oh je: Weltuntergang durch Windräder und ""gendergerechte"" Sprache.";U. Witt
98;60;0;Die heftige Auseiandersetzung um demokratische Grundpositionen hat etwas sehr Gutes. Es zwingt diejenigen, die in diesem System Demokratie groß geworden sind und Erfolg hatten, die freiheitlichen Werte als nicht selbstverständlich anzusehen. Durch den Rechtspopulismus der AfD und ihrer Anhänger wird man neu nachdenken müssen, wie man das Erreichte bewahrt und weiterentwickelt angesichts der gigantischen Veränderungen, denen die Menschen ausgesetzt sind. Z. B. Auf der Ebene des Arbeitsplatzes und auf der Ebene der Bildung. Passiert das verbal und im gesellschafts-politischen Diskurs, ist dagegen nichts zu sagen. Aber die AfD verweigert sich diesem Diskurs und schürt mit ihren Äußerungen Hass und Rassismus, den einige dann in direkte kriminelle Handlungen umsetzen, indem sie Menschen töten und/oder schwer verletzen oder Häuser anzünden.;Baustellenfahrzeug
99;60;1;Äh, wie bitte?;Referatsleiter
100;61;0;Der Klumpatsch aus SPD/CSU/CDU/FDP/Grünen bildet tatsächlich nur noch einen Politikkern ab, der in jedem Shitstorm den geringsten cw-Wert bietet. Es wird viel Gestaltet, aber hinter verschlossenen Türen.;Tychus F1ndlay
101;62;0;Ich bin Jahrgang 1963 und empfinde Zukunft als Bedrohung. Wir waren die Babyboomer mit überfüllten Schulklassen, zu wenig Lehrstellen, überfüllten Hörsälen, zu wenig Wognungen, befristeten Verträgen, jahrelange Zeitarbeit oder Vertretungsstellen etc.  Die Regierung hat die gesetzliche Rente verringert und das Leben unwahrscheinlich teuer gemacht, insbesondere für diejenigen, die trotz der widrigen Umstände eine Familie gegründet haben: EEG = überteuerte Enegiekosten, Riester-Renten-Beiträge,  deren Abgaben in der Gegenwart fehlen und in der Zukunft dank Nullzinspolitik nichts mehr bringen, schleichende Enteignung durch die EZB und, und... Gerade wenn man eine gewisse Bildung hat, nimmt man die Bedrohung durch politische Entscheidungen noch viel stärker wahr. Wenn die Babyboomer-Generation in gut einem Jahrzehnt in Rente geht und ihren ersten Rentenbescheid sieht, wird die Krise erst richtig losgehen.;Vox critica
102;62;1;"Ich hingegen empfinde es als Segen, in so einem liberalen, menschenfreundlichen, sozialen Rechtsstaat und in einem friedlichen und geeinten Europa wohnen zu dürfen und bin bereit, gegen den zerstörerischen Rechtsextremismus zu kämpfen. Ich bin auch überzeugt, daß nicht wir ""selbst schuld sind"", sondern daß es sich um Angrffe von außen handelt: der Rechtsextremismus wird von mächtigen antiliberalen Gruppen und autoritären Staaten finanziert und gelenkt. Verteidigung ist das Gebot der Stunde.";Wolfhuber
103;63;0;"Was, bitte, ist ""der Tod sämtlicher heiliger Kühe traditioneller Lebensweisen""? Dass gleichgeschlechtliche Paare jetzt auch heiraten dürfen? Das nimmt doch niemandem etwas weg.";tennessee euler
104;63;1;"Mit dem ""besonderen Schutz der staatlichen Ordnung"" für Ehe und Familie (Art. 6 GG) ist es vielleicht wie mit der ""allerbesten Freundin"". Wie viele ""allerbeste Freundinnen"" kann man zugleich haben, ehe man unglaubwürdig wird? Wie viele Lebensformen kann man zugleich ""besonders"" schützen, bis ""besonders"" nicht mehr besonders ist, sondern gewöhnlich?";Heuberg
105;64;0;"Irgendwie liest sich der Text wie eine pseudo-philosophisch verbrämte Verschwörungstheorie. Die grün- und globalisierungskompatiblen Spätachtundsechziger haben mit einem allumfassenden, perfiden Plan die Deutungshoheit über Politik, Wirtschaft, gesellschaftliche Normen und auch sonst Alles an sich gerissen und damit ""Verlierer"" geschaffen, um die sie sich jetzt nicht kümmern wollen, und die deswegen jetzt verzweifelt oder resigniert rechts wählen. Voilà, so einfach ist das Ganze. Nur, daß ich da gehörige Zweifel habe. Es die prinzipielle Schwäche aller Verschwörungstheorien, daß sie eine alles überragende Intelligenz voraussetzt, die nicht nur einen auf Jahrzehnte ausgerichteten, homogenen Plan entwickelt, sondern diesen auch noch auf breiter Front (aber quasi-geheim) durchgesetzt hat. So etwas gibt es nicht. Und daß sich die besagten Kompatiblen wehren, ist aus einer langen Reihe von Gründen verständlich. Nicht zuletzt der, daß ihre neu-rechten Gegner immer wieder Worte und Gedanken aus der faschistischen Folterkammer verwenden, auch wenn sie es ""gar nicht so gemeint haben"". Eine viel einfachere Erklärung für mich ist, daß wir in einem weltweiten Umbruch (der Artikel ist zudem viel zu deutsch-einäugig) stehen, der Gewinner und Verlierer erzeugt, aber als solcher viel stärker ist als alle individuellen Versuche, ihn zu beschleunigen oder aufzuhalten. Und so übertreiben beide Seiten - angefeuert von gewissen Medien - und arbeiten sich an Symptomen auf.";AWKBL
106;64;1;"""allumfassenden, perfiden Plan die Deutungshoheit über Politik, Wirtschaft, gesellschaftliche Normen und auch sonst Alles an sich gerissen "" so etwas gab es wirklich noch nie? Wo waren Sie zur Zeit des kalten Krieges? Wer da nicht spurte im Westen war gleich ein Kommunist. Vom Osten wollen wir da gar nicht reden. Deutungshoheiten kann man sehr schnell erzeigen - insbesondere mit einer einseitigen Presselandschaft.";JohnHoss
107;65;0;Fortschrittskala: Komplexität einer globalisierten Welt vs. Volkes Stimme vs. Furor der Medien. Gefahren: Informationsfluten, gefährliche Konturenlosigkeit der Parteien, Wählerbeschimpfung, ‘liquid democracy‘. Zukunftserwartungen: politische Bildung, Fachwissen, Erkenntnis von Verantwortung, großer Fleiß, Handlungsstärke, Bescheidenheit, Dankbarkeit gegenüber der Gesellschaft.;JungleFacedJake
108;66;0;Entfernt. Bitte verzichten Sie auf Pauschalisierungen. Danke, die Redaktion/ms;Wowbs
109;66;1;Der Kommentar, auf den Sie Bezug nehmen, wurde bereits entfernt.;sh9
110;67;0;"68er und Gründungsgrüne waren noch liberal, die heutigen Grünen ähneln aus meiner Sicht viel mehr denen, gegen die die 68er noch auf die Straße gegangen sind. Für ein gleichberechtigtes, akzeptiertes! Nebeneinander unterschiedlicher Lebensentwürfe hat den Konservativen von damals das Verständnis gefehlt und war von reichlich Verachtung für die anderen geprägt und genau daran, fehlt es dem ""grünen"" Mainstream heute. Geändert hat sich nur die veröffentliche Mainstream-Vorstellung vom ""richtigen"" Lebensentwurf, den man allgemeinverbindlich durchsetzen will.  Vielleicht ist es das, und nicht das Ende von Karriere und Lebensglück, was vielen Babyboomern auf den Zeiger geht und in den Widerstand treibt, denn die sind mit der Erfahrung groß geworden, dass es den alternativlosen Lebensentwurf, der heute wieder gepredigt wird,  nicht geben muss.";vonDü
111;68;0;Was mit den liberalen (Ost-)küsteneliten passiert zeigt uns Trump. Und was mit denjenigen Deutschlands passiert wird sich zeigen, wenn neben Platiktüten-und Strohhalmverbot, Veggieday und Dosenpfand der Bauer abgeschafft wird - und die ökologische Gurke nur noch am Prenzlauer Berg verkauft wird - für 3 Euro. Ich hab mal die Grünen gewählt, deren einzig ernstzunehmender Politiker der (Noch-)Grüne Boris Palmer ist, der Rest der abgehobenen Latte macchiatto Fraktion wird wohl erst Ruhe geben, wenn die Kaiser Wilhelm Gedächtniskirche zur Moschee umgebaut ist - und der rote Halbmond überm Reichstag weht. Vorher aber mach ich meinen Betrieb zu - und leg mich in die südfranzösische Sonne.;Sonnig.Klug.Echt.
112;68;1;Sie wählen AfD - nur solche Bürger benötigen zum Überleben dringendst Plastiktüten und Strohhalme aus Plastik, Getränkedosen und Massen von Fleisch.  Und wer anders denkt, gehört abgeschafft. Schon klar. Was für eine blaubraune Snowflake.;U. Witt
113;69;0;"Modernisierungsverlierer? Und Modernisierung ist ""Ehe-für-Alle"" (so nennen es die Linken), Islamisierung, 52 Geschlechter (wie in New York), SJW in allen Filmen? Ich halte das nicht für Modernisierung. Und wenn ich mir anschaue das die SPD konstant unter 20 Prozent liegt und die Union erstmals in Umfragen unter 30 Prozent gefallen ist, bei Rekordwerten für die AFD, dann sind die erstgenannten Parteien die Verlierer Ihrer eigenen Politik.";t.lanister
114;69;1;"Oh nein, wenn Homosexuelle heiraten dürfen, geht bestimmt - spätestens übermorgen - das Abendland unter. Die behauptete Annahme von mehr Geschlechtern ist ebenso existenzbedrohend wie die Lüge von der angeblichen ""Islamisierung"", weil ein Weihnachtsmarkt angeblich (tatsächlich nicht) in ""Wintermarkt"" umbenannt wurde. AfD-Schneeflöckchensorgen halt. Aber wer AfD wählt ...";U. Witt
115;70;0;"""im Übrigen die Integration Fremder ablehnt, weil sie sich selbst desintegriert wähnt"" Ich lasse das Wort ""Fremder"" mal so stehen. Der Satz muesste allerdings lauten: im Übrigen die Integration MILLIONEN Fremder ablehnt, weil sie sich selbst desintegriert wähnt";RealLegal
116;70;1;Nein, so müßte er nicht heißen, denn ein paar Zehntausend sind diesen Leuten auch schon zu viel.;sh9
117;71;0;"Von wegen ""postdemokratische Verhältnisse"": Dem Autor scheint nicht einmal aufzufallen, dass sich gerade am Erstarken der AfD zeigt, dass die Demokratie in Deutschland noch funktioniert, so wie das Erstarken der Grünen in den 90igern die Demokratie gestärkt hat. Im Übrigen ist die ganze ""Rechts-Links""-Rhetorik sowas von letztes Jahrhundert. Mit solchen überholten Begrifflichkeiten lässt sich unsere komplexe Welt nicht mehr erklären. Die derzeitige Polarisierung ist entstanden, weil eine immer größere Anzahl von Bürgern erkennt, dass unsere derzeitige politische Führung die großen Probleme ignoriert und die wirtschaftliche Zukunft der nächsten Generation durch unsägliche Fehlentscheidungen verspielt. So gesehen ist der Aufstieg der AfD nur die zwangsläufige Antwort auf eine reale Bedrohung. Auch die vielen zweifelhaften Prämissen entwerten den Artikel, etwa: Nein, die Grünen sind natürlich nicht daran schuld, dass es heute eine fiese Rechte gibt."" Denn mit guten Gründen lässt sich behaupten, dass eine fehlerhafte grüne Politik ""Schuld"" am Aufstieg der AfD hat.";satis est
118;71;1;"""mit guten Gründen"" Die da wären?";sh9
119;72;0;"Hab 2x versucht den Text zu lesen. Jetzt weiß ich wer mit ""die da unten"" gemeint ist.";das_Leben_ist_ungerecht
120;73;0;"Insgesamt für mich ein etwas verschwurbelter Artikel, der dennoch ein paar gute Punkte bringt. Es besteht ein Abwehrmechanismus gegen die Partei, die sich als Alternative bezeichnet, aber als Partei des rechten Rands und teilweise schon über diese Rand gefallene eigentlich keine ist. Unverständlich ist allerdings, dass man sich nicht damit auseinandersetzt, warum so viele Leute einer solchen Partei nachlaufen. Sie hat nur 1 Thema und wer sich einmal ihr Programm durchliest wird feststellen, dass sie neoliberal ist und nichts für die ""kleinen Leute"" tut. Dennoch trauen ihr viele Leute anscheinend genau das zu. Indem Medien und etablierte Parteien sich in der Verteidigerrolle der edlen Guten gegen eine solche Partei zu verteidigen, lehnen sie sich gemütlich zurück und doktern allenfalls an irgendwelchen Symptomen herum. Man zeigt mit dem Finger auf die AfD  - und da gibt es viel, was Angst machen muss - und merkt nicht, dass 4 Finger auf einen zurückzeigen. Man beschäftigt sich ausführlich mit Themen, die einen Großteil der Menschen nicht beschäftigen und lebt damit in einer selbstgefälligen Blase. Bei drinfenden Problemen lässt man sie alkein. Die Art, wie z.B. fast alle Parteien mit dem Dieselbetrug der Autohersteller umgehen, bestätigt viele Bürger in der Annahme, dass seine Interessen von den Regierenden Parteien nicht vertreten werden. Die AfD täte das auch nicht, aber das ist eine andere Sache.";Saltatio
121;73;1;"""Man zeigt mit dem Finger auf die AfD - und da gibt es viel, was Angst machen muss - und merkt nicht, dass 4 Finger auf einen zurückzeigen."" Das ist anatomisch gesehen ziemlich schwierig.";sh9
122;74;0;"Ich habe es so verstanden, dass ein ganzer Gesellschaftsschicht, nämlich junge gebildete Akademiker wollen für Demokratie kämpfen. Ist Demokratie etwa eine Religion, die nur ""Gesellschaft der Singularitäten"" vorbehalten ist? Oder ist Demokratie für jeden einzelnen Menschen da? Und wie kämpft man für sie? Kämpft man gegen den Menschen und deren Gedanken, oder gegen eigene Engstirnigkeit und Mangel an Menschlichkeit? Wenn man uns diese einfache Fragen beantworten kann, dann verstehen wir alles und sind bereit zu folgen, vielleicht.";Shenia
123;75;0;Kann man Artikel melden?   Gelöscht, bitte verzichten Sie auf pauschalisierungen.   Gelöscht, bitte bleiben Sie sachlich.  Fazit: Ganz schön hohes Ross, auf dem Sie da sitzen. So lösen sich die Problem wie von selbst. NICHT;User XX
124;75;1;"Ganz schön hohes Ross, ihre ""Kritik"". Merken Sie selbst.";U. Witt
125;76;0;"""Alle diskutieren über die Verteidigung der Demokratie. Steckt dahinter ein Kampf der neuen Mittelschichten gegen die Modernisierungsverlierer?"" Wieviel Drogen muss ich eigentlich nehmen, um so etwas zu schreiben? Die Demokratie verteidigen ist die Pflicht eines jeden Bürgers zur Wahrung unseres Wohlstandes und des Friedens. Die Demokratie verteidigen heißt sich zu bilden und ein mündiger selbstständiger Bürger zu sein, der nicht auf jeden dahergelaufenen Populisten egal welcher Richtung hereinfällt. Ein Bürger der weiß, welche Folgen seine Entscheidungen haben und der weiß, dass man nicht so leben kann, dass die nachfolgende Generation nichts mehr hat. Das ist nicht Grün sondern vernünftig.  Modernisierungsverlierer? Sind das diejenigen, die laut brüllen DdD, weil Sie nicht verstehen, dass Sie, mit mehr Anstrengung, mehr als Hartz IV haben könnten?";VertrauDemStaatsfernsehen
126;77;0;"""Der Kampf gegen postdemokratische Verhältnisse in der Bundesrepublik wird mit großer Entschiedenheit ausgefochten, aber ohne einen klar konturierten Feind."" Welche postdemokratischen Verhältnisse, bitte! Und wer sollen die Verlierer der Globalisierung sein? Mein Vater arbeitete sechs Tage, 48 Stunden die Woche, Stundenlohn 40 Pfennige und war während der Wintermonate arbeitslos und es gab weder Kindergeld noch Wohngeld. Und von meinen 40 Klassenkameradengingen gerade mal vier auf eine höhere Schule, von den M,ädchen gar keins. Ich danke allen ""Postdemokraten"" der CDU/CSU/SPD/FDP - das sie uns aus der Enge des Nationalstaates befreit und für die Welt geöffnet haben. Wenn heute eine Billion an Sozialausgaben pro Jahr verteilt werden können, dann nur dank der Globalisierung.";St.Expeditus
